record_id,source_database,source_category,title,year,ship_name,pathogen,source_url,retrieval_date,language,screening_outcome
SR-0087,CDC VSP,official_public_health,Queen Victoria - EnterotoxigenicE. coli(ETEC) (2/21/2018-3/9/2018),2018,Queen Victoria,EnterotoxigenicE. coli(ETEC),https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0088,CDC VSP,official_public_health,Azamara Quest - Unknown (1/25/2018-2/8/2018),2018,Azamara Quest,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0089,CDC VSP,official_public_health,Island Princess - Norovirus andCampylobacter (1/9/2018-1/24/2018),2018,Island Princess,Norovirus andCampylobacter,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0090,CDC VSP,official_public_health,Independence of the Seas - Norovirus (12/11/2017-12/16/2017),2017,Independence of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0091,CDC VSP,official_public_health,Celebrity Reflection - Norovirus (11/17/2017-11/27/2017),2017,Celebrity Reflection,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0092,CDC VSP,official_public_health,Crown Princess - C. perfringensenterotoxin (10/25/2017-11/8/2017),2017,Crown Princess,C. perfringensenterotoxin,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0093,CDC VSP,official_public_health,National Geographic Sea Bird - Unknown (9/26/2017-10/2/2017),2017,National Geographic Sea Bird,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0094,CDC VSP,official_public_health,Noordam - Norovirus (7/30/2017-8/6/2017),2017,Noordam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0095,CDC VSP,official_public_health,Nieuw Amsterdam - Norovirus (7/22/2017-7/29/2017),2017,Nieuw Amsterdam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0096,CDC VSP,official_public_health,Noordam - Norovirus (7/23/2017-7/30/2017),2017,Noordam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0097,CDC VSP,official_public_health,Volendam - Norovirus (7/19/2017-7/26/2017),2017,Volendam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0098,CDC VSP,official_public_health,Volendam - Norovirus (7/12/2017-7/19/2017),2017,Volendam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0099,CDC VSP,official_public_health,Regatta - Norovirus (3/29/2017-4/14/2017),2017,Regatta,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0100,CDC VSP,official_public_health,Coral Princess - Norovirus (3/8/2017-3/18/2017),2017,Coral Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0101,CDC VSP,official_public_health,Oosterdam - Norovirus (11/3/2016-11/18/2016),2016,Oosterdam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0102,CDC VSP,official_public_health,Adonia - Unknown (10/16/2016-10/23/2016),2016,Adonia,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0103,CDC VSP,official_public_health,Disney Wonder - Norovirus (4/27/2016-5/1/2016),2016,Disney Wonder,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0104,CDC VSP,official_public_health,Balmoral - Norovirus (4/16/2016-5/20/2016),2016,Balmoral,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0105,CDC VSP,official_public_health,Oceania Riviera - Norovirus (3/20/2016-4/2/2016),2016,Oceania Riviera,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0106,CDC VSP,official_public_health,Norwegian Gem - Norovirus (3/12/2016-3/22/2016),2016,Norwegian Gem,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0107,CDC VSP,official_public_health,Silver Spirit - EnterotoxigenicE. coli(ETEC) (3/3/2016-3/21/2016),2016,Silver Spirit,EnterotoxigenicE. coli(ETEC),https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
